Program,Year,Course,Required,OR Group
CS,Y1,CSC110Y1,Y,
CS,Y1,CSC111H1,Y,
CS,Y1,MAT137Y1,Y,CS-Y1-CALC
CS,Y1,MAT157Y1,Y,CS-Y1-CALC
CS,Y2,CSC207H1,Y,
CS,Y2,CSC209H1,Y,
CS,Y2,CSC236H1,Y,CS-Y2-THEORY
CS,Y2,CSC240H1,Y,CS-Y2-THEORY
CS,Y2,CSC258H1,Y,
CS,Y2,CSC263H1,Y,CS-Y2-DS
CS,Y2,CSC265H1,Y,CS-Y2-DS
CS,Y2,MAT223H1,Y,CS-Y2-LINALG
CS,Y2,MAT240H1,Y,CS-Y2-LINALG
CS,Y2,STA247H1,Y,CS-Y2-STATS
CS,Y2,STA237H1,Y,CS-Y2-STATS
CS,Y2,STA255H1,Y,CS-Y2-STATS
CS,Y2,STA257H1,Y,CS-Y2-STATS
CS,Y3/4,CSC369H1,Y,
CS,Y3/4,CSC373H1,Y,
Math,Y1,MAT157Y1,Y,
Math,Y1,MAT240H1,Y,
Math,Y1,MAT247H1,Y,
Math,Y2,MAT257Y1,Y,
Math,Y2,MAT267H1,Y,
Math,Y3,MAT327H1,Y,
Math,Y3,MAT347Y1,Y,
Math,Y3,MAT351Y1,Y,
Math,Y3,MAT354H1,Y,MATH-Y3-COMPLEX
Math,Y3,MAT357H1,Y,MATH-Y3-COMPLEX
Math,Y3,MAT363H1,Y,MATH-Y3-DIFFGEO
Math,Y3,MAT367H1,Y,MATH-Y3-DIFFGEO
Math,Y4,MAT477H1,Y,
Stats,Y1,STA130H1,Y,
Stats,Y1,CSC108H1,Y,STATS-Y1-CS
Stats,Y1,CSC110Y1,Y,STATS-Y1-CS
Stats,Y1,CSC111H1,Y,STATS-Y1-CS
Stats,Y1,CSC148H1,Y,STATS-Y1-CS
Stats,Y1,MAT137Y1,Y,STATS-Y1-CALC
Stats,Y1,MAT157Y1,Y,STATS-Y1-CALC
Stats,Y1,MAT223H1,Y,STATS-Y1-LINALG
Stats,Y1,MAT224H1,Y,STATS-Y1-LINALG
Stats,Y1,MAT240H1,Y,STATS-Y1-LINALG
Stats,Y2,MAT224H1,Y,STATS-Y2-LINALG
Stats,Y2,MAT247H1,Y,STATS-Y2-LINALG
Stats,Y2,MAT237Y1,Y,STATS-Y2-ANALYSIS
Stats,Y2,MAT257Y1,Y,STATS-Y2-ANALYSIS
Stats,Y2,STA257H1,Y,
Stats,Y2,STA261H1,Y,
Stats,Y3/4,STA302H1,Y,
Stats,Y3/4,STA303H1,Y,
Stats,Y3/4,STA304H1,Y,STATS-Y34-DESIGN
Stats,Y3/4,STA305H1,Y,STATS-Y34-DESIGN
Stats,Y3/4,STA313H1,Y,STATS-Y34-APPLIED
Stats,Y3/4,STA314H1,Y,STATS-Y34-APPLIED
Stats,Y3/4,STA365H1,Y,STATS-Y34-APPLIED
Stats,Y3/4,STA347H1,Y,
Stats,Y3/4,STA355H1,Y,
Stats,Y3/4,STA447H1,Y,STATS-Y34-ADV
Stats,Y3/4,STA452H1,Y,STATS-Y34-ADV
Stats,Y3/4,STA453H1,Y,STATS-Y34-ADV
DS,Y1,MAT137Y1,Y,DS-Y1-CALC
DS,Y1,MAT157Y1,Y,DS-Y1-CALC
DS,Y1,MAT223H1,Y,DS-Y1-LINALG
DS,Y1,MAT240H1,Y,DS-Y1-LINALG
DS,Y1,STA130H1,Y,
DS,Y1,CSC108H1,Y,DS-Y1-CS-A
DS,Y1,CSC148H1,Y,DS-Y1-CS-A
DS,Y1,CSC110Y1,Y,DS-Y1-CS-B
DS,Y1,CSC111H1,Y,DS-Y1-CS-B
DS,Y2,MAT237Y1,Y,DS-Y2-ANALYSIS
DS,Y2,MAT257Y1,Y,DS-Y2-ANALYSIS
DS,Y2,STA257H1,Y,
DS,Y2,STA261H1,Y,
DS,Y2,CSC207H1,Y,
DS,Y2,CSC165H1,Y,DS-Y2-THEORY-A
DS,Y2,CSC236H1,Y,DS-Y2-THEORY-A
DS,Y2,CSC236H1,Y,DS-Y2-THEORY-B
DS,Y2,CSC240H1,Y,DS-Y2-THEORY-C
DS,Y2,JSC270H1,Y,
DS,Y3/4,STA302H1,Y,
DS,Y3/4,STA303H1,Y,DS-Y34-METHODS
DS,Y3/4,STA305H1,Y,DS-Y34-METHODS
DS,Y3/4,STA355H1,Y,
DS,Y3/4,CSC209H1,Y,
DS,Y3/4,CSC263H1,Y,DS-Y34-DS
DS,Y3/4,CSC265H1,Y,DS-Y34-DS
DS,Y3/4,CSC343H1,Y,
DS,Y3/4,CSC373H1,Y,
DS,Y3/4,JSC370H1,Y,
Physics,Y1,MAT135H1,Y,PHY-Y1-CALC-A
Physics,Y1,MAT136H1,Y,PHY-Y1-CALC-A
Physics,Y1,MAT137Y1,Y,PHY-Y1-CALC-B
Physics,Y1,MAT157Y1,Y,PHY-Y1-CALC-C
Physics,Y1,MAT223H1,Y,PHY-Y1-LINALG
Physics,Y1,MAT240H1,Y,PHY-Y1-LINALG
Physics,Y1,PHY131H1,Y,PHY-Y1-MECH
Physics,Y1,PHY151H1,Y,PHY-Y1-MECH
